CAJAMARCA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	11167
CAJAMARCA|PROGRESEMOS	1326
CAJAMARCA|RENOVACIÓN POPULAR	20782
CAJAMARCA|SALVEMOS AL PERÚ	1264
CAJAMARCA|UN CAMINO DIFERENTE	3143
CAJAMARCA|UNIDAD NACIONAL	1603
CAJAMARCA|VOTOS EN BLANCO	123518
CAJAMARCA|VOTOS NULOS	53235
CALLAO|AHORA NACIÓN - AN	34305
CALLAO|ALIANZA ELECTORAL VENCEREMOS	2021
CALLAO|ALIANZA PARA EL PROGRESO	3483
CALLAO|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	1755
CALLAO|FE EN EL PERÚ	528
CALLAO|FUERZA POPULAR	119395
CALLAO|FUERZA Y LIBERTAD	783
CALLAO|JUNTOS POR EL PERÚ	17356
CALLAO|LIBERTAD POPULAR	1565
CALLAO|PARTIDO APRISTA PERUANO	5970
CALLAO|PARTIDO CÍVICO OBRAS	47051
CALLAO|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	479
CALLAO|PARTIDO DEL BUEN GOBIERNO	86568
CALLAO|PARTIDO DEMOCRATICO FEDERAL	411
CALLAO|PARTIDO DEMOCRÁTICO SOMOS PERÚ	4298
CALLAO|PARTIDO DEMÓCRATA UNIDO PERÚ	2453
CALLAO|PARTIDO DEMÓCRATA VERDE	1729
CALLAO|PARTIDO FRENTE DE LA ESPERANZA 2021	7670
CALLAO|PARTIDO MORADO	3248
CALLAO|PARTIDO PATRIÓTICO DEL PERÚ	4476
CALLAO|PARTIDO PAÍS PARA TODOS	69934
CALLAO|PARTIDO POLÍTICO COOPERACIÓN POPULAR	3139
CALLAO|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	3072
CALLAO|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	1452
CALLAO|PARTIDO POLÍTICO PERÚ ACCIÓN	1025
CALLAO|PARTIDO POLÍTICO PERÚ PRIMERO	2865
CALLAO|PARTIDO POLÍTICO PRIN	424
CALLAO|PARTIDO SICREO	23320
CALLAO|PERÚ MODERNO	279
CALLAO|PODEMOS PERÚ	4998
CALLAO|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	26599
CALLAO|PROGRESEMOS	2024
CALLAO|RENOVACIÓN POPULAR	86742
CALLAO|SALVEMOS AL PERÚ	356
CALLAO|UN CAMINO DIFERENTE	1241
CALLAO|UNIDAD NACIONAL	4399
CALLAO|VOTOS EN BLANCO	62437
CALLAO|VOTOS NULOS	30943
CUSCO|AHORA NACIÓN - AN	102172
CUSCO|ALIANZA ELECTORAL VENCEREMOS	13309
CUSCO|ALIANZA PARA EL PROGRESO	3802
CUSCO|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	731
CUSCO|FE EN EL PERÚ	1245
CUSCO|FUERZA POPULAR	42518
CUSCO|FUERZA Y LIBERTAD	1052
CUSCO|JUNTOS POR EL PERÚ	157982
CUSCO|LIBERTAD POPULAR	1987
CUSCO|PARTIDO APRISTA PERUANO	5028
CUSCO|PARTIDO CÍVICO OBRAS	109194
CUSCO|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	510
CUSCO|PARTIDO DEL BUEN GOBIERNO	61600
CUSCO|PARTIDO DEMOCRATICO FEDERAL	1144
CUSCO|PARTIDO DEMOCRÁTICO SOMOS PERÚ	4227
CUSCO|PARTIDO DEMÓCRATA UNIDO PERÚ	5541
CUSCO|PARTIDO DEMÓCRATA VERDE	3300
CUSCO|PARTIDO FRENTE DE LA ESPERANZA 2021	21115
CUSCO|PARTIDO MORADO	3571
CUSCO|PARTIDO PATRIÓTICO DEL PERÚ	9368
CUSCO|PARTIDO PAÍS PARA TODOS	20033
CUSCO|PARTIDO POLÍTICO COOPERACIÓN POPULAR	17059
CUSCO|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	1480
CUSCO|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	6345
CUSCO|PARTIDO POLÍTICO PERÚ ACCIÓN	1601
CUSCO|PARTIDO POLÍTICO PERÚ PRIMERO	5125
CUSCO|PARTIDO POLÍTICO PRIN	1605
CUSCO|PARTIDO SICREO	20163
CUSCO|PERÚ MODERNO	367
CUSCO|PODEMOS PERÚ	8549
